Diritti concessori,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,riazio,i,Unnamed: 6
Concessione aeroportuale –diritti acquisiti,2.179.164,(999.988),1.179.176,0.0,(46.242),0,2.179.164,(1.046.230),1.132.934
Concessione aeroportuale –investimenti su infrastrutture,1.537.067,(278.717),1.258.350,98.872,(37.578),18,1.63C5o.9s3t9o,(316.277),1.319.662
TOTALE DIRITTI CONCESSORI,3.716.231,(1.278.705),2.437.526,98.872,(83.820),18,3.815.103,(1.362.507),2.452.596
Altre attività immateriali,85.846,(65.299),20.547,10.848,(5.612),24,F9o6n.7d18oamm.,(70.911)o,25.807
Anticipi a fornitori,22.708,0,22.708,5.097,0,(8.900),18.905,0,18.905
TOTALE ALTRE ATTIVITÀIMMATERIALI,108.554,(65.299),43.255,15.945,(5.612),(8.876),11V5a.6lo2r3netto,(70.911),44.712
TOTALE ATTIVITÀ IMMATERIALI,3.824.785,(1.344.004),2.480.781,114.817,(89.432),(8.858),3.930.726,(1.433.418),2.497.308
